trade_date,sequence,symbol,side,quantity,price,turnover,brokerage,stt_buy,stt_sell,exchange_transaction_charge,sebi_turnover_charge,gst,stamp_duty,dp_charges,total_cost,allocation_note
2021-08-30,1,INFY,BUY,1,1703.90,1703.90,0,2.00,0,0.05,0,0.01,0.26,0,2.32,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-09-13,1,INFY,SELL,5,1682.16,8410.80,0,0.00,8.00,0.26,0.01,0.05,0.00,15.34,23.66,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-09-13,2,HCLTECH,BUY,7,1192.60,8348.20,0,8.00,0.00,0.25,0.01,0.05,1.25,0.00,9.56,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-10-18,1,TECHM,BUY,1,1420.71,1420.71,0,1.60,0,0.04,0,0.01,0.21,0,1.86,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-10-18,2,HCLTECH,BUY,1,1240.62,1240.62,0,1.40,0,0.04,0,0.00,0.19,0,1.63,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-10-25,1,HCLTECH,BUY,1,1184.64,1184.64,0,1.00,0,0.04,0,0.01,0.18,0,1.23,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-11-01,1,HCLTECH,SELL,9,1142.93,10286.37,0,0.00,10.00,0.32,0.01,0.06,0.00,15.34,25.73,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-11-01,2,TITAN,BUY,4,2442.67,9770.68,0,10.00,0.00,0.30,0.01,0.06,1.47,0.00,11.84,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-11-15,1,TECHM,SELL,7,1584.21,11089.47,0,0.00,11.00,0.34,0.01,0.06,0.00,15.34,26.75,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-11-15,2,BANKBARODA,BUY,112,102.05,11429.60,0,11.00,0.00,0.35,0.01,0.07,1.71,0.00,13.14,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-11-22,1,BANKBARODA,BUY,14,96.55,1351.70,0,1.00,0,0.04,0,0.01,0.20,0,1.25,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-11-29,1,BAJAJFINSV,SELL,6,1666.17,9997.02,0,0.00,10.00,0.31,0.01,0.06,0.00,15.34,25.72,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-11-29,2,KOTAKBANK,BUY,27,398.80,10767.60,0,11.00,0.00,0.33,0.01,0.06,1.62,0.00,13.02,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-12-06,1,BANKBARODA,SELL,1,89.16,89.16,0,0,0,0.00,0,0,0.00,15.34,15.34,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-12-06,2,KOTAKBANK,BUY,1,384.19,384.19,0,0,0,0.01,0,0,0.06,0.00,0.07,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-12-13,1,KOTAKBANK,SELL,28,381.81,10690.68,0,0.00,10.27,0.33,0.01,0.06,0.00,15.34,26.01,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-12-13,2,BANKBARODA,SELL,8,94.95,759.60,0,0.00,0.73,0.02,0.00,0.00,0.00,15.34,16.09,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-12-13,3,M&M,BUY,12,869.38,10432.56,0,10.00,0.00,0.32,0.01,0.06,1.56,0.00,11.95,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-12-20,1,BANKBARODA,BUY,9,83.74,753.66,0,1.00,0,0.02,0,0,0.11,0,1.13,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-12-27,1,BANKBARODA,SELL,126,78.46,9885.96,0,0.00,10.10,0.30,0.01,0.06,0.00,15.34,25.81,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-12-27,2,M&M,SELL,12,807.60,9691.20,0,0.00,9.90,0.30,0.01,0.05,0.00,15.34,25.60,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-12-27,3,TECHM,BUY,6,1725.36,10352.16,0,10.53,0.00,0.32,0.01,0.06,1.55,0.00,12.47,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-12-27,4,INFY,BUY,5,1860.93,9304.65,0,9.47,0.00,0.28,0.01,0.05,1.40,0.00,11.21,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-01-17,1,TITAN,SELL,4,2591.45,10365.80,0,0.00,10.00,0.32,0.01,0.06,0.00,15.34,25.73,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-01-17,2,LT,BUY,5,2045.77,10228.85,0,10.00,0.00,0.31,0.01,0.06,1.53,0.00,11.91,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-01-24,1,TECHM,SELL,6,1587.21,9523.26,0,0.00,10.00,0.29,0.01,0.05,0.00,15.34,25.69,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-01-24,2,MARUTI,BUY,1,8193.09,8193.09,0,8.00,0.00,0.25,0.01,0.05,1.23,0.00,9.54,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-01-31,1,INFY,SELL,5,1717.14,8585.70,0,0.00,9.00,0.26,0.01,0.05,0.00,15.34,24.66,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-01-31,2,TCS,BUY,2,3750.87,7501.74,0,8.00,0.00,0.23,0.01,0.04,1.13,0.00,9.41,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-02-07,1,LT,SELL,5,1931.53,9657.65,0,0.00,10.00,0.30,0.01,0.06,0.00,15.34,25.71,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-02-07,2,HINDALCO,BUY,18,528.11,9505.98,0,10.00,0.00,0.29,0.01,0.05,1.43,0.00,11.78,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-02-14,1,MARUTI,SELL,1,8495.75,8495.75,0,0.00,8.53,0.26,0.00,0.05,0.00,15.34,24.18,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-02-14,2,TCS,SELL,2,3722.14,7444.28,0,0.00,7.47,0.23,0.01,0.04,0.00,15.34,23.09,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-02-14,3,BANKBARODA,BUY,89,109.05,9705.45,0,9.70,0.00,0.30,0.01,0.06,1.46,0.00,11.53,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-02-14,4,JINDALSTEL,BUY,22,422.56,9296.32,0,9.30,0.00,0.28,0.01,0.05,1.39,0.00,11.03,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-02-21,1,JINDALSTEL,SELL,22,409.84,9016.48,0,0.00,8.90,0.28,0.01,0.05,0.00,15.34,24.58,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-02-21,2,BANKBARODA,SELL,1,105.30,105.30,0,0.00,0.10,0.00,0.00,0.00,0.00,15.34,15.44,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-02-21,3,AXISBANK,BUY,11,783.94,8623.34,0,9.00,0.00,0.26,0.01,0.05,1.29,0.00,10.61,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-02-28,1,HINDALCO,SELL,1,536.73,536.73,0,0,0.63,0.02,0,0.01,0,15.34,16.00,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-02-28,2,BANKBARODA,SELL,3,104.45,313.35,0,0,0.37,0.01,0,0.00,0,15.34,15.72,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-03-07,1,HINDALCO,SELL,2,586.46,1172.92,0,0.00,1.00,0.04,0,0.01,0.00,15.34,16.39,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-03-07,2,BANKBARODA,BUY,3,98.15,294.45,0,0.30,0.00,0.01,0,0.00,0.04,0.00,0.35,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-03-07,3,AXISBANK,BUY,1,693.35,693.35,0,0.70,0.00,0.02,0,0.00,0.11,0.00,0.83,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-03-14,1,AXISBANK,SELL,12,694.35,8332.20,0,0.00,8.47,0.25,0.01,0.05,0.00,15.34,24.12,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-03-14,2,BANKBARODA,SELL,5,104.90,524.50,0,0.00,0.53,0.02,0.00,0.00,0.00,15.34,15.89,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-03-14,3,JINDALSTEL,BUY,17,484.74,8240.58,0,8.00,0.00,0.25,0.01,0.05,1.24,0.00,9.55,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-03-21,1,BANKBARODA,SELL,4,107.85,431.40,0,0,0,0.01,0,0,0,15.34,15.35,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-03-28,1,HINDALCO,SELL,1,621.19,621.19,0,0,1.00,0.02,0,0,0,15.34,16.36,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-04-04,1,BANKBARODA,SELL,2,116.14,232.28,0,0.00,0,0.01,0,0,0.00,15.34,15.35,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-04-04,2,HINDALCO,BUY,1,572.29,572.29,0,1.00,0,0.01,0,0,0.09,0.00,1.10,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2022-04-11,1,JINDALSTEL,SELL,1,566.62,566.62,0,0,0.70,0.01,0,0,0,15.34,16.05,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
